i-GqTVVDjJXYwXJFxbmhLeYz	Följande skrivelser hade kommit in:
i-Rpz7KTbSKKpb9aArxK7LeY	Fru talman! Jag läste i en rapport att kvinnor är i majoritet på de iranska universiteten. Det skulle man ju knappast kunna tro. Men det visar också på ett stort problem som landet har, för tittar man på arbetslivet ser man att det är väldigt mansdominerat och att kvinnors och flickors frihet är kraftigt beskuren. Det finns en grund att stå på, för både flickor och pojkar får utbildning, och majoriteten på universiteten är kvinnor. Men tänk vilket resursslöseri det är att man inte tar vara på de här kvinnornas kompetens i arbetslivet och att man förtrycker dem så grovt! De får inte bestämma över sitt eget liv och får inte ens bestämma hur de ska klä sig.
i-NtdUyr4uKZ5HkTDs4EoDoC	Det gläder mig att det ändå är ett sådant motstånd mot den här politiska domen, och det är naturligtvis inte den enda domen, men det är ett av de värsta exemplen på många år. Kvinnors rättigheter är faktiskt så grundläggande och viktiga och är en så viktig del av de mänskliga rättigheterna att vi protesterar, och det får konsekvenser – inte bara att Iran får höra omvärldens negativa reaktioner utan också att vi har sanktioner. Det handlar såklart inte bara om kvinnors rättigheter. Det handlar om de enorma kränkningar som finns över hela fältet när det gäller mänskliga rättigheter och barns rättigheter.
i-TLaP6gQ6yHGjXiqFdnswXf	Det som är positivt är att det här fallet i alla fall har uppmärksammats. Att piskrapp förekommer i vår tid och att det är så många piskrapp som utdöms är så förfärligt och barbariskt, och samma sak är det med fängelse ­ straff på flera decennier för fredlig aktivism.
i-JH96KViHbkYFV9U5REQK4g	Det gläder mig mycket att regeringen fördömer det här, och jag tror att det är bra om man gör det också i hela EU, för då sätter man tryck på ett annat sätt.
i-2LVDmzMhSwtNZM67oxvyBy	Fru talman! Tack till både Amineh Kakabaveh och Hillevi Larsson för den här debatten!
i-QW7eowhLiTca8MnmL6zLrC	Sveriges position när det gäller respekten för mänskliga rättigheter, demokrati och rättsstatens principer är, som tidigare har nämnts, tydlig. Vi kritiserar upprepat Iran för dess brister. Jag tror, som Hillevi Larsson just sa, att det är viktigt att rösterna hörs och att reaktionerna som uppstår runt om i världen uppmärksammas. Vi kommer i vår dialog med Iran att fortsätta att regelbundet ta upp frågor som rör diskriminering av kvinnor och flickor. Detsamma gäller tillämpningen av dödsstraffet, fackliga rättigheter och den bristande respekten för minoriteters mänskliga rättigheter i Iran.
i-U68GchMFgKtcGFCVDYTjRo	Fängslandet av Nasrin Sotoudeh är upprörande och ett exempel på en negativ utveckling för människorättsförsvarare i Iran. Vi kommer i stället att fortsätta skydda, stödja och främja människorättsförsvarare i landet.
i-FA4QtgGaWmW7QAgnYqpS7y	Den isoleringspolitik som riktades mot Iran i decennier ledde ju inte till några positiva framsteg när det gäller mänskliga rättigheter. Vi fortsätter på en väg framåt där dialog och möten ändå sätts i fokus. Men ibland kan det behöva kombineras med sanktioner av det slag som jag nämnde här. Det diskuteras fortsatt i EU-kretsen.
i-NmHUPsggTBSv9SJ3UkZY3g	Förändring kräver dialog, också med företrädare för länder som står långt ifrån oss i synen på mänskliga rättigheter. Vi kommer att vara tydliga med vad vi tycker om den här frågan och den här domen. Vi kommer att fortsätta att engagera oss för en utveckling mot respekt för mänskliga rättigheter i Iran.
i-29KmGthzoz5jijmb8pvkRM	Fru talman! Tack, utrikesministern, för att du vill ta upp frågan om Nasrin Sotoudeh, mänskliga rättigheter i Iran och kvinnors situation i Europa och EU! Jag hoppas att man gör någonting gemensamt för att Nasrin Sotoudeh inte ska utsättas för 148 piskrapp och inte avtjäna 38 års fängelse på grund av att hon vill att kvinnor ska äga sina egna kroppar. Det är helt absurt och oacceptabelt att länder som Iran, Saudiarabien och andra som också är medlemmar i FN dyker upp i olika sammanhang på samma villkor utan att någon ens höjer ögonbrynen. Hur kan det vara möjligt att man hänger människor?
i-8cDa8tUNQT2k8DstqhGUzt	Jag själv var i Auschwitz förra veckan. Jag grät och mådde så illa under de tre dagar jag var där, för jag tänkte att exakt samma sak händer i mitt gamla hemland i dag. Jag kunde inte hejda mina tårar när jag tänkte på de unga politiker som jag själv känner.
i-FU7RRsEV4ScVStemBpZyqq	Det är fruktansvärt att man i dag är emot kvinnor och mänskliga rättigheter i Iran. Därför måste vi använda allt som står i vår makt för att stoppa fängslande, mördande och avrättande av till exempel Ahmadreza, Ismail Bakhshi, Sotoudeh och tusentals andra människor som kämpar för mänskliga rättigheter och rätten att bestämma över sina egna kroppar.
i-73fiMcw7N8o7kphAtZytQY	Fru talman! Jag har stor respekt för det engagemang som Amineh Kakabaveh visar i alla de här frågorna.
i-UgTFTNj5sn7ZknW4TDRCR9	Det är väldigt viktigt att det blir en stark röst från vår sida gentemot Iran och att vi säger att vi förespråkar en öppen dialog. Då måste vi också kunna framföra åsikter som går emot den ordning som just nu råder i Iran och att vi kräver att de respekterar mänskliga rättigheter.
i-WuiiNJmVu5t7yeiDtgutLk	Vi kommer att fortsätta driva de här frågorna också i EU och FN, för vi tror att om vi är många som arbetar gemensamt blir vi starkare.
i-GWeeSV5tJsr6NG2Ar4RGRX	Jag tackar för debatten. Det är viktigt att arbetet fortsätter.
i-3xd8SXfDf4XnzAygs9PRbt	Fru talman! Lotta Olsson har frågat mig hur jag ser på lantmäteriernas funktio n samt service till medborgarna.
i-LCNnwozc2aYn9m5v14ttow	Inledningsvis vill jag betona att jag håller med Lotta Olsson om att landets 40 lantmäterimyndigheter och den verksamhet de bedriver är en väldigt viktig del av samhällbyggnadsprocessen. För mig och regeringen är det därför viktigt att denna process fungerar som det är tänkt, så att den kan bidra till att möta de samhällsutmaningar som vi står inför, bland annat behovet av fler bostäder.
i-JpuqBvG24P2cKD6fpmwSjD	Vad gäller lantmäterimyndigheterna har Statskontoret på uppdrag av regeringen utvärderat hur organiseringen av fastighetsbildningen i en statlig och ett antal kommunala lantmäterimyndigheter fungerar utifrån kraven på en enhetlig, rättssäker och effektiv verksamhet. I sin slutrapport konstaterar Statskontoret att organiseringen av fastighetsbildningsverksamheten är unik i statsförvaltningen . D et finns inte någon motsvarande organiseringsform där staten och kommunen har samma uppdrag och verksamhet med utgångspunkt i samma regelverk men inom olika geografiska områden. Statskontoret drar även slutsatsen att d et delade huvudmannaskapet gör det svårt att upp nå regeringens krav på en enhet lig och effektiv fastighetsbildning sverksamhet .
i-2ko3gLzrwd86dKAx3DL5F3	Både jag och regeringen ser allvarligt på att servicen för medborgare, företag och myndigheter är olika i olika delar av landet och att vissa lantmäterimyndigheter har för långa handläggningstider.
i-XYPzkmAQCchgi4Uo7Ao1eH	I mitten av februari redogjorde jag för regeringens åtgärder för att komma till rätta med dessa problem i en interpellationsdebatt med Lotta Olssons partikollega Lars Beckman. Med hänsyn till den korta tid som gått sedan dess hänvisar jag till vad jag framförde då.
i-UDejfvd9uDq2orWBuqFEZB	Regeringen arbetar även aktivt med att digitaliseringens möjligheter ska användas bättre inom samhällsbyggnadsprocessen och på så vis bidra till att hela processen blir snabbare och effektivare för såväl lantmäterimyndigheterna som övriga aktörer. Därför fick Lantmäteriet i slutet av 2017 regeringens uppdrag att driva en omfattande kompetenssatsning om digitaliseringens möjligheter i plan- och byg gprocessen under tre års tid. I början av 2018 fick Lantmäteriet även regeringens uppdrag att fortsätta verka för en smartare samhällsbyggnadsprocess. Uppdraget är en fortsättning på regeringens satsning Digitalt först, som inleddes 2016.
i-tN9zkkzQ7Frv7Tv25CLHF	I en delredovisning av det förnyade uppdraget har Lantmäteriet redo ­ gjort för hur ett nationellt tillhandahållande av detaljplaner kan utformas. I slutredovisningen ska myndigheten redogöra för en utveckling av infrastrukturen för geodata. Parallellt med dessa uppdrag samarbetar Lantmäteriet med ett antal andra statliga myndigheter i två regeringsuppdrag om en säker och effektiv tillgång till grunddata samt ett säkert och effektivt elektroniskt informationsutbyte inom den offentliga sektorn.
i-7MKxAZv5NzpcEySP1NcFK3	Regeringens satsningar inom detta område görs framför allt för att förbättra och säkerställa den funktion som medborgarna förväntar sig i ett land som ska vara bäst i världen på att använda digitaliseringens möjligheter . Min avsikt är därför att fortsätta utveckla samhällsbyggnadsprocessen under denna mandatperiod.
i-R3QfQDAGyaLoZR1ud2oArQ	Fru talman! Våra lantmäterier har en viktig samhällsfunktion. Man får inte stycka av och sälja mark från en fastighet innan Lantmäteriet gjort en förrättning. Så är lagstiftningen, och det är bra och tydligt. Vad som däremot inte är bra och tydligt är hur våra lantmäterier bedriver sitt arbete avseende hur lång tid det tar att få ett svar på sin förrättning.
i-MWJLyqicv1SHYWkExVPb4b	Våra lantmäterier drivs i dag via det statliga Lantmäteriet och ett antal kommunala lantmäterier. De 40 lantmäterimyndigheterna i Sverige genomför varje år 20 000 förrättningar.
i-3GXMHe8VZt6cv9MjYDpkr1	För mig som riksdagsledamot är en viktig del av uppdraget att lyssna på vad våra medborgare och väljare ser som viktiga frågor, vad som fungerar i samhället och vad som inte fungerar.
i-NmsFLS5pbzkJgw4QLtduu7	Nu är inte medborgarna nöjda. Väntetiderna till våra lantmäterier är ett stort problem. Man fastnar i långa väntetider och kan inte göra något åt det.
i-Nnh3onQbBYvqUcZfiVGCwi	Fru talman! Det är också ett demokratiproblem. När tjänster och service som är offentligt styrda inte fungerar finns det ingen annan instans som man kan vända sig till. Man är helt bunden till de här väntetiderna.
i-2AxQLzVGZJBftaiZhnKEar	Man beskriver att man inte haft möjlighet att stycka av och sälja delar av en fastighet på grund av en väntetid på två år. Det innebär att man inte heller får möjlighet att få ut pengarna från en försäljning på två år. Den tilltänkta köparen får inte heller möjlighet att vare sig söka bygglov på köpt mark eller, för den delen, exempelvis börja investera på annat sätt i marken, till exempel en täckdikning på åkermark. Det kanske inte ens finns någon som vill vänta i två år på att köpa en bit mark om man får den avstyckad.
i-6cf7AotrkAZspm5jNvewnM	Vidare leder detta till andra problem. Väntetiderna på våra lantmäterier försenar byggandet av bostäder – bostäder som Sverige har brist på och som skulle behöva byggas. Väntetiderna innebär en flaskhals och att vissa byggen kanske inte ens blir av. Väntetiderna bidrar till att samhällsutveck ­ lingen stannar upp. Vi missar arbetstillfällen på grund av detta, och det har Sverige inte råd med. Viktiga infrastrukturer kommer inte heller på plats. Hur ska vi nå klimatmålen om det inte finns tillräckligt med ledningskapacitet i våra elnät och Lantmäteriet inte gör de förrättningar som är nödvändiga för att bygga ut elnätet? Väntetiderna är indirekt ett klimatproblem.
i-VhyX8WZ9YZT4hfPkQKb31D	Fru talman! Om vi som politiker ska kunna bidra till en god samhällsutveckling gäller det att vi tillser att de samhällsfunktioner som politiker har att styra fungerar. Det är vårt ansvar. Vi förväntar oss att alla andra funktioner som ska fungera i ett samhälle verkligen fungerar. Taxin ska komma i tid, bilverkstäder ska laga vår bil när det behövs och mataffärerna ska vara öppna när vi har tid att handla. Det är rimligt att vi politiker har en grundinställning som innebär att vi också tillser att det vi servar alla samhällsmedborgare med också ska fungera. Då behöver även Lantmäteriet fungera.
i-Y7vh7G7hoGyLovmVfYWSSK	Bara så får vi ett samhälle som fungerar. Vi måste komma bort från den rödgröna regeringens väntesamhälle.
i-3eXC7ySeLM76D7B19KHB2f	Fru talman! Tack, Lotta Olsson, för en viktig fråga! Även vi är såklart angelägna om att samhällsbyggnadsprocessen ska fungera så effektivt och snabbt som det över huvud taget är möjligt. Därför har regeringen långt ifrån suttit passiv utan har vidtagit ett antal åtgärder. Vi har verkligen ambitionen att kunna göra något åt detta problem.
i-5Du91gmE9NyB7SqhzRmZXw	Eftersom fakta är viktigt vill jag upplysa om att genomsnittstiden för hantering på lantmäterierna ligger på ungefär ett år. Det finns exempel på att man har betydligt längre handläggningstid. Det finns också exempel på att man har betydligt kortare handläggningstider. Därmed inte sagt att ett år är en acceptabel handläggningstid i genomsnitt! Vi skulle såklart väldigt gärna vilja se att det hela gick snabbare än så.
i-L2SkPg8HwKEkyxbSTBsiuE	Samtidigt måste man ha respekt för att det handlar om komplicerade ärenden. Ibland krävs ett omfattande arbete för att man ska kunna komma framåt. Ofta står mycket stora värden på spel. Därför behöver vi säkerställa att processen är rättssäker och att vi har den kompetens som krävs för att genomföra fastighetsbildning på ett säkert sätt.
i-YXTuEwBSMLn38r3YxK9QJ8	Vi har som sagt gett Lantmäteriet ett antal olika uppdrag och uppgifter för att råda bot på problemet. Vi har även utsett fyra nya styrelseledamöter till Lantmäteriets styrelse, bland annat en ny styrelseordförande, för att man där ska kunna hantera de utmaningar som myndigheten står inför. Dessutom har vi utsett en ny generaldirektör för att få en ledning som kan arbeta effektivt med att få en väl fungerande myndighet.
i-LCb8yN5f7P1WfATmhsDwSh	Vi har vidare gett Lantmäteriet i uppgift att redovisa hur man arbetar för att attrahera, anställa och utveckla personal. Självklart är kompetensbristen inom området en stor hämsko för alla lantmäterimyndigheter, inte minst för det statliga Lantmäteriet.
i-2FiGWrra77Az2MuTsxqMNp	Vi har också gett Lantmäteriet i uppdrag att redovisa vilka åtgärder myndigheten avser att vidta för att minska handläggningstiderna och hur man kan prioritera mellan olika ärenden för att de mest samhällsviktiga ska få förtur.
i-VLjeVGq9C1jNMvcv9X8X8p	Vi har dessutom bett Lantmäteriet att redovisa och införa en ny uppföljningsmodell om hur man kan följa upp hur ärendehanteringen går till. Man ska också redovisa nyckeltal som vi kan använda för att utvärdera myndighetens effektivitet och hur den arbetar. Arbetet med uppföljningsmodellen kommer att delredovisas i april 2019, det vill säga innevarande månad. Sedan kommer man att i årsredovisningen löpande redovisa hur man arbetar för att korta handläggningstiderna. Jag tror att det kan vara klokt att invänta myndighetens egen analys innan vi kan dra några säkra slutsatser och därmed gå vidare med att fatta ytterligare beslut.
i-JtfqDPWXmumn1WkJcCxyt3	Kompetensbristen är dock en hämsko för alla lantmäterimyndigheter. Jag är bekymrad över den utvecklingen. Den förra mandatperiodens rödgröna regering aviserade en stor utbildningssatsning för samhällsbyggnad i budgeten för 2018. Tanken var att den successivt skulle trappas upp. Vi avsatte 14 miljoner redan i den första budgeten och hade sedan en trappa upp till 112 miljoner kronor, vilket är en rejäl utbildningssatsning.
i-WMtXoYuJjmympWo3jKAGNn	När sedan riksdagen antog en ny budget som Moderaterna tillsammans med Kristdemokraterna lade på riksdagens bord och som Sverigedemokraterna ställde sig bakom fanns en sådan upptrappning inte med. Man avstod alltså från denna kompetenshöjning och utbildningssatsning på lantmäteriverksamhet och samhällsbyggnad. Det tycker jag var en bekymmersam prioritering som inte kommer att underlätta för lantmäterimyndigheterna att kunna korta handläggningstiderna. Om man inte får tillgång till den kompetens som behövs är det svårt att göra ett bra arbete.
i-2ofLdWhq32Z7pCfo3B2bHs	Det vore intressant att höra Lotta Olssons besked om varför man prioriterade som man gjorde i den budget som gäller.
i-4gPRZFurdkVk8qyAhkYXr2	Fru talman! Den tillsyn som Lantmäteriet har över de kommunala lantmäteriverksamheterna är inte särskilt djupgående. Men varken den statliga eller den kommunala delen klarar sina uppdrag. Det ser väldigt olika ut.
i-WsBvN5WLfLwVeLmMsnoeTw	Under det första kvartalet 2018 fanns det väntetider på mellan 23 och 146 veckor, vilket riksdagens utredningstjänst har tittat på för min räkning. Då måste det rimligen finnas jämförelser att göra. Man borde kunna lära sig hur man kan jobba för att få en kortare väntetid. Hur hanterar man det på vissa ställen för att få ned tiderna? Hur kan man dra nytta av det?
i-Ratde3Mx7Asrz38wUX1B7K	Det visade sig också att vissa har väldigt långa väntetider, men när de väl sätter igång processerna går det rätt fort. Detta tyder på att tiden egentligen inte nödvändigtvis behöver vara så lång för en bra ärendehantering. Själva tiden man använder för att jobba med ärendet går ganska fort. Det handlar alltså om en ren väntetid.
i-KJzPJNT96FXMsTGdqaAx3D	Det finns dessutom en fara i att tro att digitalisering ska lösa allting. Oftast brukar tröskeln när man digitaliserar bli en smärtsam, om än positiv, process att komma över. Om man har haft problem innan tror man kanske att man får ett snabbt jobb efter detta. Det här är ett synsätt jag vill varna för.
i-REqyNvqxJYWwr4puV487r4	Detta är inget nytt problem, utan det har funnits i flera år. Även Justitieombudsmannen har tagit upp detta. Då har man åtgärdat det hela genom att jobba av de ärenden som var längre än fem år.
i-Nehd8Sp9CSm4RjVvBHz74u	Det känns ändå som att detta är en fråga där alla fakta visar att man borde sätta ned klacken och prioritera det hela högre. Jag har läst om Axel Oxenstierna och hans stora insats för svensk förvaltning. Tänk om han hade fått se något som detta som inte fungerar bättre än så här! Vi kan ju få alla andra funktioner i samhället att funka så bra. Det här får stora konsekvenser. Vi har problem med infrastrukturen, elnäten och bostadsbyggandet. Att detta inte fungerar får stor impact.
i-9goMsCaEH4WyHmzb6MkU6v	Fru talman! Jag förstår inte varför ministern inte är tydligare och trycker på i dessa ärenden som är enormt viktiga. Vi måste kräva mer. Detta påverkar människors liv på ett mycket negativt sätt. Från min horisont duger det inte att bara arbeta med detta. Här behöver man visa på tydliga resultat. Både jag och mina väljare kräver det. Detta är något som människor ute i landet har börjat bli ganska trötta på. Det här måste gå att ordna.
i-TurD7h3sNLk69ff1wqj52U	Det kan vara farligt för etablissemanget att sådana samhällsfunktioner sköts styvmoderligt och inte kommer på plats.
i-84Ue5azJ2bCHuYUhNqjtQN	Fru talman! Jag delar inte Lotta Olssons bedömning att detta inte har prioriterats. Tvärtom har vi lagt stor vikt vid frågan om hur vi kan få Lantmäteriet att fungera mer effektivt och hur vi kan korta handläggningstiderna. Det handlar som sagt om att många samhällsviktiga funktioner hänger på att det finns en fungerande lantmäteriverksamhet.
i-X6LJUXxoJtGHv6peP8Ff5z	Ibland har det från Moderaternas håll låtit som att lösningen på detta bara är att släppa fram kommunala lantmäterier – alla som vill ska kunna göra det här. Det är en väg som jag vill varna för. Som jag var inne på i mitt förra inlägg krävs kompetens för detta. Det krävs att man har kunskap och förmåga för att hantera dessa ganska komplicerade ärenden.
i-MD4nusHDpthsQRFXNMXgjK	Som Lotta Olsson själv vidgår har de kommunala lantmäterierna inte något bättre track record än vad den statliga lantmäteriverksamheten har. Tvärtom har många kommunala lantmäterimyndigheter också väldigt långa handläggningstider. Statskontoret är väldigt tydligt i sin analys: Om denna uppdelning skulle fördjupas ännu mer skulle det bli ännu mer konkurrens om en redan bristfällig kompetens. Det finns för få personer som har utbildats till lantmätare, och det är en tydlig flaskhals som vi fortfarande kämpar med.
i-NwsExWdeT3Z5nerJpKC8cK	Jag vill också varna för att ställa krav på åtgärder utan att först ha en analys som pekar på var problemen egentligen finns. En sådan analys har vi begärt från Lantmäteriet, och den kommer att komma under denna månad. Vi rullar alltså inte tummarna och väntar, utan vi har ställt krav på Lantmäteriet om en redovisning. Den kommer inom de närmaste veckorna. Då får vi ett bättre underlag för att sedan kunna ta ytterligare steg och göra det som är relevant för att nå målet om att korta ned handläggningstiderna. Det är ju inte någon som tjänar på att vi riktar in massor med resurser på fel områden och inte löser problemet. Vi måste veta vad vi gör när vi vidtar åtgärder.
i-AXQLHVNqGYmwUWgAbihKzL	Lotta Olsson pekar i sitt anförande också på hur man har prioriterat för att först kunna behandla de allra viktigaste ärendena, som har väntat alldeles för länge på sin tur. Det är ett exempel på hur man kan arbeta inom myndigheten med att ta itu med problemen.
i-ECuAUhpAXCGXYoD9NjkHVZ	Självklart delar jag Lotta Olssons uppfattning att digitalisering inte är något slags trollspö som löser alla utmaningar. Det har inte heller reger ­ ingen eller myndigheten själv hävdat. Däremot ska man inte förminska digitaliseringen som verktyg för att kunna effektivisera och i framtiden korta handläggningstider och arbeta effektivare än tidigare. Där har vi ett gediget arbete som pågår med att resurssätta och se till att man hittar nya rutiner och nya vägar att använda digitaliseringens möjligheter för att modernisera fastighetsbildningen i Sverige. Jag tror att det kommer att visa sig vara en väldigt viktig och bra prioritering för att få en effektivare lantmäterimyndighet men också för att korta de tider man behöver vänta på att få sitt ärende behandlat.
i-Re61kQDsGYy6HzGFeYgxJ9	Däremot tycker jag att Lotta Olsson lite grann undviker någonting som jag betraktar som en viktig kärna, nämligen utbildningssystemet och tillgången till kompetens. Det är svårt att bedriva lantmäteriverksamhet utan lantmätare. Vi har tyvärr för få som har utbildat sig på det området. Vi har en tydlig brist på kompetens. Det krävs satsningar på att få fram framtidens lantmätare för att kunna hantera det här problemet på lång sikt.
i-AFwxGDWfkECUPWc953CcWE	Med tanke på att man från Moderaternas sida i interpellation efter interpellation lyfter fram det här problemet och kräver handling och åtgärder tycker jag att det är en märklig prioritering att man i den budget som man har lagt på riksdagens bord och som har röstats igenom tydligt prioriterat ned utbildningen för lantmätare och i samhällsbyggnad. Där tycker jag väl att ord och handling lite grann står emot varandra. Det är en prioritering som jag inte har förståelse för, om man är angelägen om att korta handläggningstiderna på lantmäterierna.
i-TKuo67inDGFMPWbQXkyXxe	Fru talman! Självklart behövs det kompetens, och självklart finns det trånga sektorer. Jag har inte för avsikt att underminera något och påstå att det här inte är viktiga funktioner som kräver hög kompetens och utbildning. Det ser ju ut så här i en del andra branscher också. Det behöver man komma till rätta med.
i-TBhsvfs2ZG9B11KiS8JtH5	Men det är också så att det finns sådana som har lyckats hålla nere handläggningstiderna. Hur jobbar de? Jobbar de på ett annat sätt? Måste man vara lantmätare för att ha hela hanteringen, eller finns det delar av detta som man kan lägga på andra yrkesgrupper, där det är lätt att få tag på personal? Organisation kan ibland lösa saker på ett sätt som inte kompetens snabbt kan göra. Det duger alltså inte riktigt att bara skylla på det. Det är även inom en del andra yrken så att det inte finns hur många som helst av dem med den högsta kompetensen. Då får man se över vilka funktioner de måste sköta. Man ska hushålla med resurserna på ett bra sätt.
i-tAjKuZFQjF4sUk3sN2GPA	Självklart är det viktigt att göra en analys. Ingen är gladare än jag om ministern går till handling. Får vi se någonting hända redan under våren eller under hösten är det bra. Man ska aldrig vidta åtgärder utan att ha tänkt till ordentligt.
i-L6BJvoY68Df3GyaFK7cNfB	Men jag skulle också vilja att man redovisade hur det ser ut med vänte ­ tiderna. Om svenska folket ser att det ser ut så här i vissa kommuner kom ­ mer man att öka trycket. Det är som med taxichaufförer och andra funktio ­ ner i vårt samhälle – får man ta del av vad de icke nöjda kunderna känner kommer det att öka trycket. Jag tror att de allra flesta vill göra ett bra jobb. Ser man att man är sämst i klassen försöker man jobba på det. Det behövs lite mer jämförelser och lite mer tryck ut i organisationen. Ministern kan inte sköta hela jobbet själv.
i-UdWKmj6LMsQ7NZ8ba8NbtP	Fru talman! När det gäller jämförelser och statistik har vi gjort ett ge ­ diget arbete och fått fram betydligt bättre underlag. Vi kan konstatera att kommunala lantmäterimyndigheter i Stockholm, Helsingborg, Uddevalla, Motala, Hässleholm, Landskrona, Haninge, Varberg, Sandviken, Örn ­ sköldsvik och Västerås har längre genomsnittliga handläggningstider än vad den statliga lantmäterimyndigheten har. I det sammanhanget gäller det också att hålla reda på att det är ganska olika verksamheter vi pratar om. Under den tid man studerade handlade det statliga Lantmäteriet 3 200 ärenden, medan Sandviken handlade 8. Det är alltså ganska olika dimen ­ sioner vi pratar om.
i-6b919oCJStn1Dc9kzm6A2A	Men det behövs också kompetens. Det går inte att komma ifrån att det är en flaskhals. Där har Lantmäteriet lyckats arbeta effektivare än de kommunala lantmäterimyndigheterna. Lantmäteriet har 56 procent av alla handläggare, men hanterar 76 procent av alla ärenden. Det är alltså snarast så att man är effektivare per lantmätare.
i-LAh9rxm5NQM2pcN9ovvvSq	Vi behöver jobba med många olika åtgärder. Vi har vidtagit många åtgärder för att få en bättre styrelse. Vi har en ny generaldirektör, som har förmåga att ta tag i de problem som uppstått. Vi har också gett många uppdrag. Det kommer att levereras förslag på vad som kan göras för att kunna korta handläggningstiderna framöver med tanke på var de stora problemen finns.
i-fhPpSdBEsuhCfxng34FV6	Utbildning har jag varit inne på. Det kommer att vara viktigt att vi tar vara på den kompetens som finns. Exempelvis kommer det till vårt land människor som har utbildning inom det här området. Att kunna ta till vara deras kompetens och få användning för den i Sverige tror jag kan vara en viktig lösning. Men vi behöver också hitta nya vägar och nya metoder att arbeta. Där är digitaliseringen och öppna geodata en väg för att ytterligare effektivisera lantmäteriverksamheten i Sverige.
i-Au3FbfEJLLSsfPQKWXz1Qe	Detta är en högt prioriterad fråga för regeringen. Vi arbetar oförtrutet för att med alla medel korta handläggningstiderna, som i dag är alltför långa. Där delar jag Lotta Olssons uppfattning.
i-T87PhwvkreJVGEg77nk8yY	Fru talman! Ludvig Aspling har frågat utrikesministern om Rumäniens regerings agerande ligger i linje med Europeiska unionens värderingar och artikel 2 i fördraget samt vilka åtgärder hon annars avser att vidta. Frågan har överlämnats till mig.
i-KEjRXDdemr3dRx8KC6hyrB	Regeringen verkar för att alla medlemsstater i unionen ska respektera och upprätthålla EU:s gemensamma värderingar. Regeringen ser med oro på utvecklingen på rättsstatsområdet på flera håll i EU och för en dialog med berörda medlemsstater om vikten av att respektera grundläggande fri - och rättig heter och rättsstatens principer. Sverige samarbetar också med en krets av likasinnade medlemsstater för att göra EU :s åtgär der mer effektiva. Sverige stöd er de pågående varningsförfaranden som EU-kommissionen och Europaparlamentet initierat enligt artikel 7.1 i EU-fördraget och har även intervenerat vid EU-domstolen till stöd för EU-kommissio ­ nen i mål om rättstatsfrågor mot Ungern .
i-693aQVTp4FEGMuXM8S5Xdf	När det gäller Rumänien s utveckling gällande reformer av rättsväsendet och kampen mot korruption står landet sedan EU-inträdet 2007 under övervakning från EU-kommissionen , vilket var ett villkor för landets medlemskap i EU . Efter flera år av framsteg efter inträdet har sedan 2017 utvecklingen vänt i landet. F lera kontroversiella lagändringar som bland annat befaras undergräva rättsväsendets oberoende och försvåra kampen mot korruption har drivits igenom. Ytterligare andra ligger som förslag för slutbehandling i parlamentet. Lagändringarna har rönt såväl inhemsk som internationell kritik , bland annat från EU-kommissionen och från Europarådets Venedigkommission . I den senaste rapporten från EU-kommissionens övervakningsmekanism CVM formulerades skarp kritik mot Rumänien, som uppmanades agera för att vända den negativa utvecklingen. Den rumänska regeringen har avvisat denna kritik och fortsätter att driva igenom lagändringarna.
i-CdNrkVdZuEfQqspefsr8f	Sverige spelar en aktiv roll i de diskussioner om dessa frågor som förs i Bryssel och verkar för att EU ska uppmana Rumänien att värna rättsstatens principer och antikorruptionsarbetet . Vi välkomnar de framsteg som tidigare skett i Rumänien , men är samtidigt tydlig a med att landets reformarbete måste fortsätta och att EU- kommissionens övervakning inte kan avslutas förrän Rumänien har uppfyllt de kriterier som EU-kommissionen satt upp . Dessa budskap framför s också till rumänska företrädare.
i-Hd1MtAMQ7A7iMmKBUapKws	Regeringen kommer att fortsätta att hävda att EU:s grundläggande värden inte är förhandlingsbara och att a lla medlemsstater måste leva upp till sina åtaganden enligt såväl EU:s som Europarådets och Förenta nationernas regelverk.
i-XNyz5SUk3UU1oqB5JRtga8	Fru talman! När tidningen The Economist rankade EU:s länder efter ett demokratiindex hamnade Rumänien allra sist. Efter att Rumäniens socialdemokrater tog makten 2016 började de omedelbart driva igenom lagförslag som i praktiken legaliserar korruption och ger regeringen en ökad möjlighet att tillsätta och avsätta domare.
i-NAxPDpSx4hXMjwnXvegq21	En bidragande orsak till detta är antagligen att Socialdemokratiska partiets partiordförande och Rumäniens de facto premiärminister Liviu Drag ­ nea personligen är misstänkt för att ha förskingrat hundratals miljoner kronor ur EU-budgeten. Han har också pekats ut som ledaren för ett brottssyndikat av landets särskilda korruptionsåklagare.
i-MTFFwc8LbUJDM7zM3HPStz	År 2015 dömdes Dragnea till ett års fängelse för valfusk, och senare 2018 dömdes han i ytterligare ett korruptionsmål till tre och ett halvt års fängelse. Det är osäkert om han kommer att avtjäna något av de straffen.
i-JacapfdERCBcoDvV2vbxeX	Rumänien sparkade därefter chefen för den särskilda korruptionsåklagaren Laura Codruta Kövesi . Rumänien försöker också stoppa samma person från att bli ordförande för EU:s nya åklagarmyndighet, vilket säger en del om hur illa situationen är.
