i-mgTSontHYWnxwpPQjFmrG	Följande dokument hänvisades till utskott:
i-AacUrfxh4HJwv9m7LvuxC3	Jag har själv uttalat att jag tycker att det får vara slut på en period där vi bygger infrastruktur enbart utifrån mäns och bilars behov. Jag har fått en del kritik för det. Men, allvarligt talat, vi kan se genom historien hur en del infrastruktursatsningar har gjorts. Det har varit frånvaro av både jämlikhet och jämställdhetsperspektiv. Jag vill att det ska finnas med. Kvinnor är i större behov än män av att ha en fungerande kollektivtrafik. Man har ofta kortare pendlingsavstånd för att man har dubbelarbete – hemma och på jobbet. Då måste det finnas med när vi funderar på vilka viktiga infrastrukturinvesteringar vi ska göra framöver. Så är det inte minst när det gäller att kanske vidga arbetsmarknadsregionerna och skapa bättre möjligheter till arbetspendling.
i-F2ysKpE2m98LDDmiZr67RA	Ett jämställdhetsperspektiv är otroligt viktigt också i infrastrukturplaneringen.
i-5uTtgYznWBajez981cz1cU	Fru talman! Nyligen konstaterade Nationellt underrättelsecentrum i en rapport att bedrägerier med personlig assistans och arbetskraftsinvandring kan kopplas till såväl organiserad brottslighet som våldsbejakande extremism. Dagens lagstiftning är helt tandlös, och bedragarna kan ostört fortsätta att mjölka vårt välfärdssystem på miljardbelopp.
i-5AXH7ZFGysYhyxYWMgpBWW	Vi moderater vill stoppa arbetskraftsinvandringen i fråga om personliga assistenter, riva upp sekretesshinder mellan myndigheter och låta Försäkringskassan göra oanmälda besök. Vad tänker regeringen göra för att omedelbart få stopp på dessa bedrägerier?
i-B1zzbGS6TNQxqSvQL9jKc2	Fru talman! Regeringen gör omfattande insatser för att sätta stopp för bedrägerier, inte minst när det gäller fusk. Så är det oavsett om det gäller skattesystemet eller om det gäller välfärdssystemet. Det handlar om skattebetalarnas pengar. Det handlar om att vara noggrann med hur vi använder resurserna och att de kan gå dit de ska gå – till äldreomsorg och till sjukvård.
i-CSyNcJnZR6doBVMoFZAxqf	Jag kan uppskatta om Moderaterna är beredda att strama åt eller föra en diskussion om arbetskraftsinvandringen i detta läge. Det har tidigare funnits en diskussion om vilka regler vi faktiskt ska ha. Detta förekom inte minst senast i Migrationskommittén.
i-YMfBZhCkecJakbPtwaEXN5	Jag tror att det är viktigt att de som arbetar i Sverige gör det under sjysta villkor och inte utnyttjas. De ska kunna ha rimliga rättigheter och ska därför också kunna ha skydd när de är på den svenska arbetsmarknaden.
i-SsMZMRq7XXBKnoTTxxMQc7	Detta jobbar vi för inom transportpolitiken, som är mitt ansvarsområde. Det gäller egentligen hela arbetsmarknaden. Samhället har ett starkt ansvar i att se till att skydda människor från att utnyttjas av skrupelfria arbetsgivare som pressar arbetsvillkor och löner.
i-A6So7gTbNcCQrfYapLTcWw	Fru talman! Förra året togs ett beslut om sillfiskestopp mellan maj och augusti i år. Detta missriktade beslut har varit direkt förödande för näringslivet i primärt Sölvesborg, Simrishamn och Karlskrona, som utan framgång försökt få till stånd ett möte med landsbygdsministern.
i-M55d3zL5RhQM4RvSDK8GBa	Efter att fiskarna levt på hoppet om att få ersättning från fiskerifonden kom landsbygdsministern i dag med beskedet att ingen ersättning kommer att betalas ut för de fyra månadernas sillfiskestopp.
i-PrGYP2A5x4jNVqHJbnxG9s	Min fråga är: Hur ser regeringen på det kustnära småskaliga fisket? Många andra näringar har fått ta emot miljardstöd. Ni måste väl också förstå att detta utgör en direkt nådastöt för dessa kommuners identitetsnäring. Jag kan inte se det på annat sätt än att man försöker fasa ut fisket bakvägen.
i-GokQQjLCfWdHCF37Pi6dsz	Fru talman! Tack, Tobias Andersson, för frågan! Jag är själv en ivrig sportfiskare, och jag gillar att äta fisk. Men mina kunskaper om just sillfiskestoppet är vid detta tillfälle relativt begränsade.
i-Te9RUVQuqCTmjpt9CX5hbL	Det jag vet, och det som är viktigt att komma ihåg, är att vi naturligtvis har ett gemensamt intresse av att kunna säkerställa att vi har väl fungeran ­ de fiskekvoter och goda förutsättningar för fiskenäringen. Men när det gäller det mer precisa svaret på frågan får jag faktiskt be ledamoten att vända sig till ansvarigt statsråd, landsbygdsminister Jennie Nilsson.
i-3PTmKSfU6BG9wphsN9w4mD	Fru talman! Jag har en fråga till statsrådet Micko. I mitten av september aviserade regeringen att man skulle öppna nya servicekontor i utsatta förorter. Det är naturligtvis jättebra att staten tar sitt ansvar och markerar att det inte är någon annan som kontrollerar områden inom Sveriges gränser och att man samtidigt visar att man bryr sig om alla områden och de människor som bor där och ger dem större möjligheter att nå våra viktiga myndigheter.
i-Q2G1ryp6dUmQzki75cDY4E	Vi har naturligtvis inte samma problembild – med kriminella gäng och andra saker – i de norra delarna av Sverige, men statens närvaro eller vad som många gånger har blivit frånvaro är ändå ett stort problem.
i-BKwr7P8q6qM1MTLFVMuA77	Kommer dessa satsningar att stå mot utbyggnad av servicekontor i andra delar av landet? Apropå servicekontor undrar jag också om du kan säga något om utvecklingen av de servicekontor som redan nu finns i Stor ­ uman, Torsby, Åsele och Vansbro, till exempel.
i-RDVQFrskEtC4QH5dKTa4JB	Fru talman! Tack för en angelägen fråga, Patrik Lundqvist! Vi har markerat tydligt från regeringens sida att utbyggnaden av servicekontoren gäller hela landet. I den senaste budgetpropositionen handlar det om att utbyggnaden kommer att fortsätta i utsatta stadsdelar och resten av landet.
i-QbQq37Km5KF7xAYEisqJmb	Det tillägg som vi gör till utredningen, som vi gav direktiv till för ett år sedan och som kommer att jobba till i slutet av året, handlar också om hela landet – både utsatta stadsdelar och resten av landet.
i-2SbFmY19re6ZZwqyzuzvuH	Sedan vill jag verkligen understryka vikten av att vi hittar olika slags samverkan i landet. Detta behöver ta sig olika uttryck. Det handlar om att ta hänsyn till hur förutsättningarna är där man bor och där man finns. Jag tror att det måste vara ett samarbete mellan staten och kommunerna, i hög grad.
i-SFkH1ouFd2hNdUAtf1MoME	Fru talman! I Säkerhetspolisens årsbok för 2019 går det att läsa om hur det kinesiska påverkansarbetet mot Sverige breddas och fördjupas. Ett exempel kan, enligt Säpo, vara att man hotar med ekonomiska åtgärder om Sverige genomför aktiviteter som Kina ogillar. Samtidigt är Kina en viktig handelspartner för Sverige – handelsutbytet kan också antas växa.
i-97c4WTmFrvV3bq2jVhnTMx	Ett ökat ekonomiskt utbyte riskerar därför att ytterligare exponera oss för kinesisk påverkan. Man kan då använda handelspolitik för att få Sverige att minska eller mildra sin kritik mot Kina, exempelvis vad gäller mänskliga rättigheter eller situationen i Hongkong.
i-7gZ7wV1mSE1UPdSEg75qfc	Fru talman! Tack, David Josefsson, för en mycket viktig fråga!
i-NgN2mV5SXNyfRMLhhtq1bQ	Jag är övertygad om att vi kan hålla balansen mellan att peka på de värderingar som vi står för och samtidigt handla med en stor och viktig ekonomi som Kina. Det är oerhört viktigt att göra både och. Sverige har tagit lagstiftning vidare under den senaste tiden när det gäller att skydda oss mot oönskade investeringar i Sverige. Där finns en koppling till detta. Det handlar både om att handla med Kina och om att peka på de värderingar och brister som vi ser i det kinesiska samhället. Vi måste kunna handla med en så stor ekonomi, som är så viktig för vårt näringsliv och vår tillväxt.
i-RaNzS61N25dFm8uQwi2vL5	När det gäller investeringar i Sverige kommer vi att vidta och har redan vidtagit åtgärder för att skydda oss mot oönskade investeringar. Det går åt båda hållen. Vi i regeringen är fullt medvetna om denna balans, och vi måste hålla den. Det är två vägar som vi måste klara av här, och vi har en mycket god strategi för det.
i-59GPyDmda7zdDQ9vJFGSVC	Fru talman! Jag vill ställa en fråga till statsrådet Tomas Eneroth.
i-WvxiTn6WpX1gwXxTjoi2Wp	En ny utredning om Bromma flygplats offentliggjordes nyligen. Utredningen baseras i huvudsak på ekonomiska utgångspunkter. Man kan ana att det är ett beställningsverk från regeringspartnern Miljöpartiet.
i-WSeYrjnWbhRHWmej5224eK	Arlanda flygplats behöver byggas ut med en fjärde start- och landningsbana. I dag äger SAS 70 procent av alla start- och landningstillstånd, och övriga flygbolag från hela världen får dela på 30 procent. Detta är inte hållbart i framtiden. Om allt flyg ska gå från Arlanda, som utredningen föreslår, är det nödvändigt med en fjärde bana. När coronan väl lägger sig förväntas flyget öka.
i-FbCP67f8PckRPt7Bw3q4B8	Det är extremt viktigt att ha en flygplats i Stockholmsregionen som fungerar för både regionen och övriga Sverige. När kommer regeringen att lägga korten på bordet om Arlanda?
i-CqbmWSbPXtdo5BVauo7ezc	Fru talman! Det är sant – flyget står inför betydande utmaningar. I början av pandemin fick vi rapporter som talade om att allt reguljärt flyg i världen i princip stod stilla. Detta säger något om den stora utmaning som finns för hela transportsektorn, inte minst för flyget, vilket har märkts i de ekonomiska förutsättningarna för de regionala och de nationella flygplatserna. Detta är bakgrunden till att Swedavia har gjort bedömningen att det nu inte finns marknadsmässiga förutsättningar att driva också Bromma i ett läge där man har ansvar för ytterligare nio statliga flygplatser.
i-WDYEF5wqVaamcPP1RgyjgP	Vi ska naturligtvis analysera Swedavias slutsatser. Jag har under hela denna period varit tydlig med att det är viktigt att vi säkerställer att vi har samhällsviktigt flyg på plats. Detta är ett av skälen till att vi fattat beslut om allmän trafikplikt och att vi har gett extra resurser till de regionala flygplatserna, också till Swedavia.
i-6HKqfx2cSKeJE598n2pxbb	Sverige behöver flyg, men flyget behöver verkligen också ställa om. Detta kommer vi att bevaka framöver.
i-275CQaWYSkzT6wacB1EMy7	Fru talman! Jag vill ställa min fråga till infrastrukturministern.
i-YbtRue9YGmwFXoydFW2EAq	Swedavias flygplatser erhöll i juni 3 miljarder i statsstöd. Stockholm Skavsta fick noll. Flygplatsen har drabbats precis lika hårt som Swedavias flygplatser under coronakrisen men har inte fått ta del av stödet. Flygplatsen är hotad, här och nu, och har dessutom en viktig samhällsfunktion, vilket ministern tidigare nämnde avseende Arlanda, för ambulansflyg, sjöräddning och kustbevakning. Men varken näringsministern eller infrastrukturministern har bemödat sig att träffa Nyköpings kommun och representanter för Skavsta.
i-FAFpNxumcoE65bojdDk2UR	Medan vi står här och pratar håller Sveriges flygkapacitet på att kraftigt försämras, vilket kommer att vara oerhört negativt för svenskt näringsliv men också för alla andra som vill kunna resa utomlands med flyg. Vi kommer inte att sluta flyga, men vi kommer att flyga klimatsmart.
i-VpAEmC8NGG6KRa3yZ6PWEE	Jag får alltså signaler om att Stockholm Skavsta Flygplats – den tredje största flygplatsen i Sverige – hotas av nedläggning. Vad har infrastrukturministern för avsikt att göra med detta?
i-NK2aS9VEgqmfWLwdW6Htf3	Fru talman! Det är alldeles sant. Som jag sa till den tidigare frågeställaren är det en otroligt tuff utmaning för flygplatserna. När i princip allt flyg låg nere under lång tid minskade flygets intäkter. Man har fått använ ­ da korttidspermitteringar eller annat för att upprätthålla kapacitet.
i-QCEviHsVNiZ8STqgwWLtQH	Vi i regeringen har med riksdagens stöd fått gå in med extra resurser i form av statsbidrag till regionala flygplatser, också för att säkerställa brand- och räddningsflyg. Dessa resurser har utgått från det statsbidrags ­ system som vi har för de regionala flygplatserna och som går via läns ­ planeanslaget. Detta är utgångspunkten för att Skavsta, som ligger inom två timmars reseavstånd från Stockholm, inte får del av resurserna.
i-4yzKjvxEAc3uQJVvaXVTPu	Fru talman! E22 förbi Söderköping i Östergötlands län är en väldigt problemfylld sträcka, och det känner infrastrukturministern väl till. Sträckan har utretts i över 60 år, och nu har kommunen och Trafikverket äntligen enats om en bra plats dit förbifarten kan förläggas. Men då säger länsstyrelsen nej på grund av att det finns hasselsnok i området. Hassel ­ snok finns det ganska gott om där och i områdena runt omkring, och dessutom klassar EU denna art som livskraftig.
i-Tu94TUR3VvMusBimun3fyQ	Det är klart att vi när infrastruktur runt om i landet ska utvecklas och nya projekt tas i bruk alltid kommer att hitta miljövärden, men någonstans måste vi ju ha vår nya infrastruktur. Söderköping har i det här läget väntat otroligt länge och har, särskilt under sommarmånaderna, rent katastrofala situationer med trafiken. Hur länge ska man behöva vänta? Och hur mycket ska sådana här saker betyda när vi ska ha ny infrastruktur?
i-3uzK11T3oxdkvosyE32d4e	Fru talman! Tack, John Widegren, för en mycket bra fråga! Den an ­ knyter delvis till en fråga som jag fick tidigare, om produktiv jordbruks ­ mark. Jag tror att alla förstår vilken fantastisk utmaning det är att vara infrastrukturminister, för det är fullt av målkonflikter, vare sig det handlar om produktiv jordbruksmark, hasselsnok, viktiga biotoper eller annat skyddsvärt. Det är den svåra målkonflikt som vi har. Därför har det varit viktigt att hitta processer där vi skyndsamt kan ta ställning och klara så ­ dana avgöranden så att viktiga infrastrukturinvesteringar inte dröjer alltför länge.
i-T9a1gwFCLbmiy1M8h3fi4C	Jag vet hur viktigt och angeläget det är med E22 i Söderköping, och jag vet också hur viktigt det är med många andra infrastruktursatsningar i landet, för att knyta ihop arbetsmarknadsregioner eller hitta mer klimatsmarta transportsätt. Därför arbetar vi intensivt, inte minst inför komman ­ de nationell plan, med att studera planprocesserna så att prövningen kan gå ännu snabbare och målkonflikterna lösas. Vi ska ha respekt för målkonflikterna, men vi ska kunna hantera dem snabbare.
i-TcUVW8G2cxe9kRtrwyeANL	Fru talman! Jag har en fråga till infrastrukturministern.
i-T67bquXbDrLcayZdY5u7xH	Just nu är hastighetssänkningar på vägarna E45 , E14 och väg 87 aktuella, och regeringens uppdrag till Trafikverket får därmed stora negativa konsekvenser för Norrlands inland. De aktuella vägarna är hårt trafikerade av pendlingstrafik, besöksnäring och tunga transporter av timmer. Tyvärr är dessa vägar i väldigt dåligt skick på grund av eftersatt underhåll. Men i stället för att göra de insatser och investeringar som skulle behövas väljer Trafikverket att sänka hastigheten till 80 kilometer i timmen på långa avsnitt i Jämtlands län. Detta får självfallet förödande konsekvenser för ett län som Jämtland.
i-Fe3sVhcGYN5zSJZvKV8u1t	Min fråga blir därför: Är ministern beredd att skjuta till de medel som behövs för att säkra hastigheterna på vägarna, som upprätthåller både tillgängligheten och attraktiviteten för regionen?
i-LRBUZm7ADGr4pVoXicXM3D	Fru talman! Tack, Saila Quicklund, för en viktig fråga!
i-8q6Xgot1AYepiqKKiL3B86	Jag har full förståelse för de delar av landet där det kan finnas längre pendlingssträckor som får sänkt hastighet. Skälet är att vi under lång tid har underinvesterat i infrastruktur. Det var först när vi tillträdde och det blev en socialdemokratiskt ledd regering 2014 som vi kunde välja att lägga 100 miljarder mer på infrastruktursatsningar – 164 miljarder bara på väg ­ underhåll. Så sent som nu i budgeten lägger vi 1,5 miljarder extra just för att stärka vägunderhållet för landsbygdsvägar.
i-7W1JUazfbJ78mV3FQHvXus	Det vi öppnade upp för i nationell plan, just för att öka trafiksäkerheten, var en möjlighet för regioner att medfinansiera till exempel uppsättning av mitträcken så att man inte sänker hastigheten utan kan upprätthålla bra hastigheter på pendlingssträckor. Denna dialog måste fortsätta, men vi ska också ha respekt för att vi ska fortsätta att arbeta enligt nollvisionen och minska dödligheten. Förra året var faktiskt det år då vi hade det lägsta antalet döda och skadade i trafiken någonsin. Detta ska vi vara väldigt stolta över.
i-gmtww45ngpb53cqTnTWc1	Följande frågor för skriftliga svar hade framställts:
i-CsYh1a1s71Vrn8hRYujwVj	Skriftliga svar på följande frågor hade kommit in:
